gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
TCL1A,ENSG00000100721,Breast+IO,B cells,B cell;Proliferative,B/Plasma:naive_B,B/Plasma,naive_B,naive_B,B_cell,"B_cell(1.533), Plasma(0.754), Dendritic(0.424)",1,6.0,0.284,0.117,Immune,0.07,0.083,0.51,0.068
TENT5C,ENSG00000183508,Breast,T cells,,,,,,Plasma,"Plasma(3.281), B_cell(1.294), T_NK(1.064)",0,17.9,0.761,0.362,Immune,0.686,0.821,1.072,0.3
TFAP2A,ENSG00000137203,Breast,Adipocytes,,,,,,Myoepithelial,"Myoepithelial(2.551), Tumor(2.444), Macrophage_Mono(0.131)",0,15.5,0.599,0.454,Epithelial,2.444,2.551,0.076,0.09
TGFB1,ENSG00000105329,IO,,Macrophage;Neutrophil;Polarization,,,,,Macrophage_Mono,"Macrophage_Mono(1.93), Dendritic(1.857), T_NK(1.661)",0,28.6,1.246,0.442,Immune,0.496,0.457,1.678,1.115
THAP2,ENSG00000173451,Breast,Smooth muscle cells,,,,,,Myoepithelial,"Myoepithelial(0.599), Tumor(0.547), Plasma(0.28)",0,8.2,0.296,0.101,Epithelial,0.547,0.599,0.245,0.195
TIFA,ENSG00000145365,Breast,Endothelial cells,,,,,,Myoepithelial,"Myoepithelial(1.042), Tumor(0.967), Plasma(0.837)",0,13.8,0.52,0.19,Epithelial,0.967,1.042,0.498,0.224
TIGIT,ENSG00000181847,Breast+IO,T cells,T Cell;Exhausted,T/NK:exhausted,T/NK,exhausted,exhausted,T_NK,"T_NK(1.3), B_cell(0.365), Plasma(0.291)",1,8.8,0.395,0.127,Immune,0.084,0.072,0.711,0.105
TIMP4,ENSG00000157150,Breast,Adipocytes,,CAF/Adipo:adipocyte,CAF/Adipo,adipocyte,adipocyte,Adipocyte,"Adipocyte(0.824), Endothelial(0.156), Pericyte(0.144)",1,2.5,0.097,0.031,Stroma,0.119,0.101,0.056,0.155
TMEM147,ENSG00000105677,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.756), Tumor(2.585), Endothelial(1.162)",0,29.6,1.215,0.684,Epithelial,2.585,2.756,0.802,0.893
TNF,ENSG00000232810,IO,,Macrophage;Neutrophil,Myeloid/DC:macrophage_M1; Mast:effector_activation,Mast; Myeloid/DC,effector_activation; macrophage_M1,macrophage_M1,B_cell,"B_cell(0.274), Macrophage_Mono(0.227), Mast(0.204)",2,3.4,0.135,0.047,Immune,0.147,0.14,0.182,0.048
TNFRSF13C,ENSG00000159958,IO,,B Cell,,,,,B_cell,"B_cell(2.645), Plasma(1.683), T_NK(0.3)",0,9.7,0.451,0.162,Immune,0.101,0.137,0.839,0.065
TNFRSF17,ENSG00000048462,Breast+IO,Plasma cells,Plasma Cell,B/Plasma:plasma,B/Plasma,plasma,plasma,Plasma,"Plasma(1.459), Dendritic(0.089), T_NK(0.071)",1,2.6,0.104,0.031,Immune,0.058,0.067,0.16,0.044
TNFRSF1B,ENSG00000028137,IO,,,,,,,Macrophage_Mono,"Macrophage_Mono(2.549), Dendritic(2.165), T_NK(1.92)",0,27.1,1.222,0.492,Immune,0.41,0.328,1.744,0.984
TNFRSF9,ENSG00000049249,IO,,,,,,,Mast,"Mast(0.463), T_NK(0.35), Macrophage_Mono(0.209)",0,4.1,0.171,0.06,Immune,0.086,0.084,0.265,0.079
TOMM7,ENSG00000196683,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(3.557), Tumor(3.313), B_cell(2.803)",0,55.2,2.527,1.406,Epithelial,3.313,3.557,2.496,2.022
TOP2A,ENSG00000131747,Breast,Breast cancer,,Tumor:proliferating; Endothelial:proliferating; Myeloid/DC:proliferating; B/Plasma:proliferating; CAF/Adipo:proliferating; Mast:proliferating,B/Plasma; CAF/Adipo; Endothelial; Mast; Myeloid/DC; Tumor,proliferating,proliferating; Proliferating,Myoepithelial,"Myoepithelial(1.63), Tumor(1.446), Macrophage_Mono(0.422)",6,12.5,0.515,0.599,Epithelial,1.446,1.63,0.285,0.196
TOX,ENSG00000198846,IO,,T Cell;Exhausted,T/NK:exhausted,T/NK,exhausted,exhausted,T_NK,"T_NK(0.479), B_cell(0.322), Plasma(0.242)",1,4.5,0.189,0.052,Immune,0.066,0.08,0.324,0.057
TPD52,ENSG00000076554,Breast,Breast glandular cells,,Tumor:cancer_specific,Tumor,cancer_specific,,Myoepithelial,"Myoepithelial(4.301), Tumor(4.281), Plasma(2.694)",1,34.5,1.662,2.378,Epithelial,4.281,4.301,1.194,0.494
TPSAB1,ENSG00000172236,Breast,Mast cells,,Mast:mast_core,Mast,mast_core,mast_core,Mast,"Mast(4.368), Dendritic(0.121), Macrophage_Mono(0.109)",1,2.9,0.136,0.092,Immune,0.053,0.049,0.209,0.075
TRAC,ENSG00000277734,Breast,T cells,,,,,,T_NK,"T_NK(4.264), B_cell(1.88), Plasma(1.412)",0,30.5,1.516,0.754,Immune,0.356,0.328,2.605,0.584
TRAF4,ENSG00000076604,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(2.842), Tumor(2.753), Dendritic(0.539)",0,21.4,0.898,0.875,Epithelial,2.753,2.842,0.376,0.384
TRAPPC3,ENSG00000054116,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.617), Tumor(2.488), Endothelial(1.212)",0,30.6,1.247,0.635,Epithelial,2.488,2.617,0.893,0.925
TRAT1,ENSG00000163519,IO,,,,,,,T_NK,"T_NK(0.764), B_cell(0.182), Dendritic(0.154)",0,5.3,0.23,0.062,Immune,0.059,0.071,0.408,0.062
TREM2,ENSG00000095970,IO,,Dendritic Cell,Myeloid/DC:macrophage_M2,Myeloid/DC,macrophage_M2,macrophage_M2,Macrophage_Mono,"Macrophage_Mono(0.783), Myoepithelial(0.256), Tumor(0.195)",1,4.0,0.157,0.062,Epithelial,0.195,0.256,0.195,0.062
TRIB1,ENSG00000173334,Breast,B cells,,,,,,Tumor,"Tumor(2.039), Myoepithelial(2.016), Plasma(1.403)",0,25.2,1.021,0.568,Cancer,2.039,2.016,0.714,0.792
TUBA4A,ENSG00000127824,Breast,T cells,,,,,,Myoepithelial,"Myoepithelial(0.931), Tumor(0.909), Plasma(0.749)",0,15.1,0.59,0.213,Epithelial,0.909,0.931,0.613,0.318
TUBB2B,ENSG00000137285,Breast,Breast myoepithelial cells,,,,,,Myoepithelial,"Myoepithelial(0.876), Tumor(0.678), Adipocyte(0.338)",0,8.3,0.307,0.119,Epithelial,0.678,0.876,0.171,0.249
UCP1,ENSG00000109424,Breast,Adipocytes,,,,,,Myoepithelial,"Myoepithelial(0.045), Tumor(0.038), Plasma(0.03)",0,0.7,0.025,0.007,Epithelial,0.038,0.045,0.022,0.021
USP53,ENSG00000145390,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(1.921), Tumor(1.778), Adipocyte(0.923)",0,19.7,0.766,0.351,Epithelial,1.778,1.921,0.411,0.61
VCAN,ENSG00000038427,IO,,Macrophage;M1,Myeloid/DC:monocyte; CAF/Adipo:matrix_remodel,CAF/Adipo; Myeloid/DC,matrix_remodel; monocyte,monocyte; matrix_remodel,Adipocyte,"Adipocyte(3.302), CAF_Fibroblast(3.225), Endothelial(1.653)",2,30.0,1.443,1.071,Stroma,0.731,0.757,1.097,2.611
VOPP1,ENSG00000154978,Breast,B cells,,,,,,Plasma,"Plasma(2.038), Dendritic(1.781), Myoepithelial(1.725)",0,33.4,1.392,0.593,Epithelial,1.624,1.725,1.582,0.917
VSIG4,ENSG00000155659,IO,,Macrophage,,,,,Macrophage_Mono,"Macrophage_Mono(1.3), Dendritic(0.903), Mast(0.204)",0,6.3,0.268,0.099,Immune,0.092,0.092,0.415,0.157
VWF,ENSG00000110799,Breast,Endothelial cells,,Endothelial:pan_endothelial,Endothelial,pan_endothelial,,Pericyte,"Pericyte(4.369), Endothelial(3.872), T_NK(0.404)",1,14.3,0.717,0.622,Stroma,0.262,0.311,0.344,1.71
WARS,ENSG00000140105,Breast,Endothelial cells,,,,,,Tumor,"Tumor(1.44), Myoepithelial(1.427), Endothelial(1.328)",0,24.1,0.967,0.488,Cancer,1.44,1.427,0.843,0.841
ZEB1,ENSG00000148516,Breast,Breast cancer,,Tumor:emt; Endothelial:endmt; CAF/Adipo:emt,CAF/Adipo; Endothelial; Tumor,emt; endmt,emt; EndMT,Endothelial,"Endothelial(1.843), Adipocyte(1.045), CAF_Fibroblast(0.943)",3,17.4,0.749,0.257,Stroma,0.298,0.013,0.674,1.252
ZEB2,ENSG00000169554,Breast,Breast cancer,,Tumor:emt; Endothelial:endmt; CAF/Adipo:emt,CAF/Adipo; Endothelial; Tumor,emt; endmt,emt; EndMT,Macrophage_Mono,"Macrophage_Mono(3.725), Dendritic(3.195), Pericyte(2.778)",3,40.4,1.902,0.931,Stroma,0.581,0.028,2.281,2.331
ZNF562,ENSG00000171466,Breast,Breast glandular cells,,,,,,Myoepithelial,"Myoepithelial(2.129), Tumor(1.9), Endothelial(0.942)",0,23.4,0.913,0.428,Epithelial,1.9,2.129,0.613,0.681
